preguntas,respuestas
¿Qué tipo de guitarras venden? ,"Vendemos una amplia variedad de guitarras acústicas y eléctricas, para todos los niveles de experiencia y presupuestos. Contamos con guitarras de las mejores marcas, como Fender, Gibson, Martin, Taylor, Yamaha y Epiphone. También ofrecemos guitarras para principiantes, guitarras para niños, guitarras clásicas, guitarras de 12 cuerdas y guitarras personalizadas. "
¿Cuánto cuestan sus guitarras? ,"Los precios de nuestras guitarras varían según la marca, el modelo y las características. Tenemos guitarras desde $3,000 pesos hasta $20,000 pesos. También ofrecemos opciones de financiamiento para que pueda pagar su guitarra en cuotas cómodas. "
¿Ofrecen envío gratuito? ,"Sí, ofrecemos envío gratuito en compras superiores a 4000 pesos. Para compras menores, el costo del envío se calcula en función del peso y el destino del paquete. "
¿Cuál es su política de devoluciones? ,"Aceptamos devoluciones de guitarras sin usar y en su embalaje original dentro de los 10 días posteriores a la compra. Para realizar una devolución, contacta con nuestro servicio de atención al cliente. "
¿Puedo probar una guitarra antes de comprarla? ,"Sí, puedes probar cualquier guitarra en nuestra tienda antes de comprarla. Tenemos un amplio espacio de prueba donde puedes tocar la guitarra y ver si te gusta. "
¿Tienen un taller de reparación de guitarras? ,"Sí, tenemos un taller de reparación de guitarras donde podemos reparar todo tipo de problemas, desde cuerdas rotas hasta problemas electrónicos. Nuestros técnicos de reparación son expertos en guitarras y pueden hacer que su guitarra vuelva a funcionar como nueva. "
¿Tienen redes sociales? ,"Sí, estamos en las redes sociales. Puedes seguirnos en Facebook, Instagram y Twitter. "
¿Qué diferencia hay entre una guitarra acústica y una guitarra eléctrica? ,"Las guitarras acústicas producen sonido a través de la vibración de las cuerdas, que se transmite a través del cuerpo de la guitarra. Las guitarras eléctricas, por otro lado, utilizan pastillas para captar la vibración de las cuerdas y convertirla en una señal eléctrica que se amplifica a través de un amplificador. "
¿Qué tipo de guitarra es mejor para principiantes? ,"Las guitarras acústicas generalmente se consideran más fáciles de aprender para principiantes porque no requieren un amplificador. Sin embargo, las guitarras eléctricas pueden ser más versátiles y ofrecer una mayor variedad de sonidos. "
¿Qué marca de guitarras es la mejor? ,"No hay una única marca de guitarras que sea la mejor. La mejor marca para usted dependerá de sus preferencias personales, su presupuesto y su nivel de experiencia."
¿Qué accesorios recomiendan para complementar mi guitarra? ,"Recomendamos una variedad de accesorios para complementar tu guitarra, como cuerdas de repuesto, correas, capos, pedales de efectos, afinadores, estuches rígidos o fundas acolchadas, entre otros. Estos accesorios pueden mejorar tu experiencia de tocar la guitarra y ayudarte a cuidar y mantener tu instrumento. "
¿Que métodos de pago aceptan?,"Aceptamos una variedad de métodos de pago, incluyendo tarjetas de crédito, transferencias bancarias, PayPal, entre otros. Puedes encontrar más información sobre los métodos de pago aceptados en nuestro sitio web durante el proceso de compra."
